ErrorValue_141,AccuracyValue_141,ErrorValue_101,AccuracyValue_101,ErrorValue_61,AccuracyValue_61,ErrorValue_52,AccuracyValue_52,ErrorValue_51,AccuracyValue_51,ErrorValue_40,AccuracyValue_40,ErrorValue_31,AccuracyValue_31,ErrorValue_20,AccuracyValue_20,ErrorValue_2,AccuracyValue_2,ErrorValue_1,AccuracyValue_1
85,3.1460358e-33,24,1.2961046e-33,12,3.6277767e-20,7,8.21026e-28,65,1.7062025e-27,7,9.641294e-28,32,1.2687782e-33,24,9.645435e-34,69,2.099132e-27,43,3.524956e-21
59,2.6536173e-33,32,1.0468104e-33,42,2.912844e-20,54,2.542682e-28,21,1.5755431e-27,1,7.1381483e-28,24,1.117133e-33,32,8.68618e-34,65,1.7500143e-27,26,3.5063948e-21
43,1.3401322e-34,27,5.572478e-34,59,1.9287713e-20,36,2.0443968e-28,1,7.9959243e-28,36,2.2860803e-28,69,4.548124e-34,27,4.6757005e-34,1,1.5625928e-27,23,1.1624515e-21
52,9.3769965e-35,69,4.9427076e-34,18,8.3468065e-21,21,9.4743084e-29,69,4.646543e-28,21,1.9971369e-28,27,4.4388705e-34,69,3.9079163e-34,21,1.2057934e-27,61,9.793823e-23
7,1.7079125e-35,57,2.123968e-34,86,2.0128776e-21,33,6.8771383e-29,36,2.9111729e-28,69,1.336081e-28,57,1.6404114e-34,57,1.647787e-34,36,1.1030256e-27,56,3.6802078e-23
46,5.8910505e-36,7,1.1806198e-35,78,1.4498988e-21,69,2.861333e-29,33,1.0796237e-28,33,5.737914e-29,7,1.444254e-35,7,1.15061655e-35,41,7.965762e-29,70,2.855966e-23
65,5.389788e-36,90,6.1370426e-36,88,1.3727628e-21,41,2.4028937e-29,23,6.148789e-29,41,5.387024e-29,90,7.055507e-36,90,7.62917e-36,23,7.256672e-29,28,1.4186247e-23
29,2.5378106e-36,23,2.386098e-37,10,9.606268e-22,23,5.254189e-30,50,5.7741384e-29,23,3.5028368e-29,23,2.0488945e-37,23,1.6796496e-37,33,5.9024685e-29,18,1.4006377e-23
70,4.812592e-37,50,6.231398e-38,36,2.2473943e-22,50,5.0052504e-30,41,2.1319474e-29,50,1.5213938e-29,50,8.279293e-38,50,6.643165e-38,50,5.0773105e-29,5,9.025276e-24
75,2.7305875e-37,76,4.2092074e-38,35,2.0840416e-22,76,7.984249e-31,76,2.023397e-30,76,2.7504034e-30,76,2.8663162e-38,76,3.1720933e-38,76,1.9023689e-29,60,1.2238729e-24
33,1.8388607e-37,72,0.0,92,1.8531678e-22,74,7.945358e-31,74,9.827452e-31,74,3.9997507e-31,93,0.0,68,0.0,74,4.855974e-31,77,3.1225028e-25
77,1.2363437e-37,93,0.0,57,1.0742878e-22,79,3.0827248e-32,79,3.6837555e-31,79,1.0086678e-31,68,0.0,91,0.0,79,2.621981e-31,37,2.4152224e-25
14,8.4460675e-38,68,0.0,39,7.4892744e-23,57,1.4373395e-33,53,6.13985e-32,57,1.1770808e-32,91,0.0,70,0.0,57,1.2583091e-31,41,1.4553262e-25
54,6.5358836e-38,70,0.0,51,4.876916e-23,53,5.317492e-34,57,2.5932784e-32,53,4.9568455e-33,70,0.0,72,0.0,53,5.7138153e-32,24,9.239224e-26
40,5.4506536e-38,91,0.0,37,2.3803215e-23,58,3.812786e-34,58,4.7247287e-33,58,4.4269444e-33,72,0.0,93,0.0,58,3.2480176e-32,50,7.765145e-26
72,4.003666e-38,86,0.0,9,1.5709695e-23,72,1.3185931e-35,72,1.265473e-34,72,1.7120659e-34,85,0.0,85,0.0,72,5.800292e-34,15,4.3155286e-26
48,3.3168777e-38,77,0.0,15,1.1093026e-23,30,8.082629e-36,27,9.413959e-35,27,2.2483475e-35,86,0.0,86,0.0,27,1.6804899e-34,1,7.516047e-27
56,0.0,78,0.0,89,1.9462693e-24,27,2.0955379e-36,30,5.424822e-35,30,1.1283084e-35,77,0.0,77,0.0,30,4.523909e-35,32,6.6718165e-27
78,0.0,79,0.0,45,8.498438e-25,70,1.0917555e-36,94,5.0942997e-36,94,1.6775542e-36,78,0.0,78,0.0,94,1.066063e-35,42,6.317086e-27
79,0.0,80,0.0,95,7.467928e-25,94,2.1246346e-37,35,1.9580131e-36,35,5.0320144e-37,79,0.0,79,0.0,35,6.697209e-36,51,1.8686239e-27
23,0.0,81,0.0,27,5.7962053e-25,35,1.3933269e-37,89,1.2406261e-36,89,3.7188201e-37,80,0.0,80,0.0,89,4.0425232e-36,55,8.809801e-28
81,0.0,89,0.0,53,4.699697e-25,73,1.0687654e-37,49,9.210691e-37,70,3.588079e-37,81,0.0,81,0.0,49,6.2297075e-37,87,3.3719006e-28
18,0.0,88,0.0,33,3.4553732e-25,42,6.283524e-38,70,6.813231e-37,73,3.1047736e-37,89,0.0,89,0.0,60,6.063799e-37,38,2.058428e-28
83,0.0,83,0.0,23,3.294211e-25,49,3.993289e-38,91,4.8422274e-37,49,1.2080797e-37,88,0.0,88,0.0,73,3.8729266e-37,83,1.478851e-28
84,0.0,84,0.0,30,1.5233258e-25,16,1.6018195e-38,73,3.3659564e-37,42,4.0122524e-38,83,0.0,83,0.0,70,1.4989673e-37,53,5.858009e-29
24,0.0,85,0.0,66,1.4044405e-25,11,1.3731017e-38,60,6.062978e-38,91,2.5497982e-38,84,0.0,84,0.0,91,1.4699972e-37,22,4.1220333e-29
17,0.0,73,0.0,14,1.0756354e-25,91,0.0,42,4.9418186e-38,60,2.2901276e-38,73,0.0,73,0.0,42,7.913057e-38,33,3.319711e-29
3,0.0,87,0.0,20,6.046925e-26,81,0.0,16,2.0773543e-38,85,0.0,87,0.0,87,0.0,88,0.0,35,9.577572e-31
88,0.0,48,0.0,62,2.3324269e-26,83,0.0,11,1.7409731e-38,84,0.0,48,0.0,48,0.0,93,0.0,85,2.4649653e-31
